,race_id,venue,race_no,config,surface,distance,going,prize,race_class,place_combination1,place_combination2
4117,4117,0,10,1,0,1800,1,1400000,2,4,3
4118,4118,1,1,5,0,1000,1,550000,5,3,8
4119,4119,1,2,5,0,1650,1,550000,5,1,7
4120,4120,1,3,5,0,1650,1,725000,4,3,10
4121,4121,1,4,5,0,1200,1,725000,4,10,6
4122,4122,1,5,5,0,1650,1,725000,4,6,1
4123,4123,1,6,5,0,1200,1,1000000,3,11,9
4124,4124,1,7,5,0,1650,1,1400000,2,7,10
4125,4125,1,8,5,0,1650,1,1000000,3,7,9
4126,4126,0,1,0,1,1650,1,550000,5,14,3
4127,4127,0,2,0,1,1200,1,725000,4,9,5
4128,4128,0,3,3,0,1200,0,725000,4,2,3
4129,4129,0,4,3,0,1400,0,725000,4,12,10
4130,4130,0,5,3,0,2000,0,725000,4,6,14
4131,4131,0,6,0,1,1800,1,1000000,3,14,10
4132,4132,0,7,3,0,1000,0,6000000,11,6,8
4133,4133,0,8,3,0,1400,0,1000000,3,5,7
4134,4134,0,9,3,0,1200,0,1000000,3,10,6
4135,4135,0,10,3,0,1200,0,1400000,2,6,3
4136,4136,0,1,4,0,1200,1,725000,4,9,1
4137,4137,0,2,4,0,1600,1,725000,4,14,13
4138,4138,0,3,4,0,1800,1,550000,5,10,1
4139,4139,0,4,4,0,1200,1,725000,4,9,7
4140,4140,0,5,4,0,1400,1,550000,5,9,11
4141,4141,0,6,4,0,1400,1,725000,4,7,12
4142,4142,0,7,4,0,1000,1,1000000,3,1,7
4143,4143,0,8,4,0,1800,1,2500000,13,1,8
4144,4144,0,9,4,0,1400,1,2000000,1,14,12
4145,4145,0,10,4,0,1400,1,1000000,3,3,10
4146,4146,0,11,4,0,1600,1,1400000,2,4,9
4147,4147,1,1,0,0,1000,1,1400000,2,4,1
4148,4148,1,2,0,0,1650,1,550000,5,9,2
4149,4149,1,3,0,0,1800,1,725000,4,8,3
4150,4150,1,4,0,0,1000,1,725000,4,1,7
4151,4151,1,5,0,0,1200,1,550000,5,8,10
4152,4152,1,6,0,0,1200,1,725000,4,12,11
4153,4153,1,7,0,0,1200,1,1000000,3,3,4
4154,4154,1,8,0,0,1200,1,1000000,3,2,7
4155,4155,1,9,0,0,1800,1,1000000,3,10,12
4156,4156,0,1,5,0,1600,1,550000,5,4,12
4157,4157,0,2,5,0,1000,1,725000,4,2,6
4158,4158,0,3,0,1,1200,1,725000,4,7,3
4159,4159,0,4,5,0,1400,1,725000,4,6,1
4160,4160,0,5,5,0,1200,1,1000000,3,11,6
4161,4161,0,6,5,0,1600,1,725000,4,12,3
4162,4162,0,7,0,1,1200,1,1000000,3,9,2
